proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
KHDRBS1_HNRNPU,0.087123129,1205,1,1,0,0,0,0,0
KHDRBS1_HNRNPL,0.096377702,1333,1,1,0,0,0,0,0
KHDRBS1_HNRNPC,0.056973465,788,1,1,0,0,0,0,0
KHDRBS1_CIZ1,0.111127178,1537,1,1,0,0,0,0,0
KHDRBS1_PABPN1,0.096956113,1341,1,1,0,0,0,0,0
HNRNPU_HNRNPL,0.402284723,5564,0,0,1,1,0,1,1
HNRNPU_HNRNPC,0.189718748,2624,0.999994102,1,6.51E-06,1.23E-05,0,0,0
HNRNPU_CIZ1,0.069843106,966,1,1,2.67E-14,5.57E-14,0,0,0
HNRNPU_PABPN1,0.074904201,1036,1,1,0,0,0,1,0
HNRNPL_HNRNPC,0.140336924,1941,1,1,0,0,0,0,0
HNRNPL_CIZ1,0.072012147,996,1,1,8.99E-15,1.92E-14,0,0,0
HNRNPL_PABPN1,0.085460198,1182,1,1,0,0,0,1,0
HNRNPC_CIZ1,0.058925602,815,1,1,0,0,0,0,0
HNRNPC_PABPN1,0.059070205,817,1,1,0,0,1,0,0
CIZ1_PABPN1,0.083146555,1150,1,1,0,0,0,0,0
